"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-05-10,178246,11.77,0.05,1010320,42.52,0.31,723882,34.64,0.22,1296758,48.71,0.39
2020-05-11,218050,14.4,0.07,1056277,44.46,0.32,769839,36.84,0.23,1342715,50.43,0.41
2020-05-12,193113,12.75,0.06,1027020,43.22,0.31,740582,35.44,0.23,1313458,49.33,0.4
2020-05-13,167293,11.05,0.05,996004,41.92,0.3,709566,33.96,0.22,1282443,48.17,0.39
2020-05-14,136121,8.99,0.04,957429,40.3,0.29,670991,32.11,0.2,1243867,46.72,0.38
2020-05-15,125937,8.32,0.04,944351,39.75,0.29,657913,31.49,0.2,1230789,46.23,0.37
2020-05-16,106913,7.06,0.03,918584,38.66,0.28,632146,30.25,0.19,1205022,45.26,0.37
2020-05-17,104334,6.89,0.03,915265,38.52,0.28,628827,30.09,0.19,1201703,45.14,0.37
2020-05-18,58833,3.88,0.02,846134,35.61,0.26,559695,26.79,0.17,1132572,42.54,0.34
2020-05-19,44239,2.92,0.01,821694,34.58,0.25,535256,25.62,0.16,1108132,41.62,0.34
2020-05-20,15738,1.04,0,775338,32.63,0.24,488900,23.4,0.15,1061776,39.88,0.32
2020-05-21,21137,1.4,0.01,784714,33.03,0.24,498276,23.85,0.15,1071152,40.23,0.33
2020-05-22,13951,0.92,0,760380,32,0.23,473942,22.68,0.14,1046818,39.32,0.32
2020-05-23,5334,0.35,0,736052,30.98,0.22,449614,21.52,0.14,1022490,38.4,0.31
