"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-05-14,2806,1.23,0,5803,2.46,0.01,5587,2.37,0.01,6019,2.55,0.01
2020-05-15,2488,1.09,0,5415,2.29,0.01,5199,2.2,0.01,5631,2.38,0.01
2020-05-16,1939,0.85,0,4604,1.95,0.01,4388,1.86,0.01,4820,2.04,0.01
2020-05-17,1370,0.6,0,3633,1.54,0.01,3416,1.45,0.01,3849,1.63,0.01
2020-05-18,1337,0.58,0,3794,1.61,0.01,3577,1.52,0.01,4010,1.7,0.01
2020-05-19,1207,0.53,0,3670,1.55,0.01,3454,1.46,0.01,3886,1.64,0.01
2020-05-20,1345,0.59,0,4061,1.72,0.01,3844,1.63,0.01,4277,1.81,0.01
2020-05-21,746,0.33,0,2687,1.14,0,2471,1.05,0,2904,1.23,0
2020-05-22,544,0.24,0,2257,0.96,0,2041,0.87,0,2473,1.05,0
2020-05-23,398,0.17,0,1915,0.81,0,1699,0.72,0,2131,0.9,0
