"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-05-14,10890,4.28,0.02,33539,11.77,0.05,29670,10.56,0.04,37408,12.96,0.06
2020-05-15,11888,4.67,0.02,34838,12.23,0.05,30969,11.02,0.05,38707,13.41,0.06
2020-05-16,9745,3.83,0.01,32023,11.24,0.05,28154,10.02,0.04,35892,12.43,0.05
2020-05-17,6928,2.72,0.01,28205,9.9,0.04,24336,8.66,0.04,32074,11.11,0.05
2020-05-18,5201,2.04,0.01,25797,9.06,0.04,21928,7.8,0.03,29666,10.28,0.04
2020-05-19,2926,1.15,0,22363,7.85,0.03,18494,6.58,0.03,26232,9.09,0.04
2020-05-20,1901,0.75,0,20769,7.29,0.03,16900,6.01,0.02,24638,8.53,0.04
2020-05-21,1235,0.48,0,19714,6.92,0.03,15845,5.64,0.02,23583,8.17,0.03
2020-05-22,3067,1.2,0,23135,8.12,0.03,19266,6.86,0.03,27003,9.35,0.04
2020-05-23,1961,0.77,0,20823,7.31,0.03,16954,6.03,0.02,24691,8.55,0.04
