"tau","reduced_t","reduced_t_pct","reduced_t_pct_population","reduced_s","reduced_s_pct","reduced_s_pct_population","reduced_s_lb","reduced_s_pct_lb","reduced_s_pct_population_lb","reduced_s_ub","reduced_s_pct_ub","reduced_s_pct_population_ub"
2020-05-14,11581,4.55,0.02,26583,9.33,0.04,22714,8.08,0.03,30451,10.55,0.04
2020-05-15,10463,4.11,0.02,25144,8.83,0.04,21275,7.57,0.03,29013,10.05,0.04
2020-05-16,8767,3.44,0.01,22745,7.99,0.03,18876,6.72,0.03,26614,9.22,0.04
2020-05-17,6703,2.63,0.01,19561,6.87,0.03,15692,5.59,0.02,23430,8.12,0.03
2020-05-18,4870,1.91,0.01,16738,5.88,0.02,12869,4.58,0.02,20607,7.14,0.03
2020-05-19,2912,1.14,0,13416,4.71,0.02,9547,3.4,0.01,17285,5.99,0.03
2020-05-20,2146,0.84,0,12386,4.35,0.02,8517,3.03,0.01,16255,5.63,0.02
2020-05-21,1709,0.67,0,11922,4.19,0.02,8053,2.87,0.01,15790,5.47,0.02
2020-05-22,2036,0.8,0,6168,2.17,0.01,2300,0.82,0,10037,3.48,0.01
2020-05-23,1505,0.59,0,3862,1.36,0.01,-7,0,0,7730,2.68,0.01
